ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Imorod,Imorod,,20.77,121.85,ivat1242,,,Itbayat
Imroing,Imroing,,-7.96772,129.651,imro1237,,,Imroing
Inabaknon,Inabaknon,,12.4264,124.166,inab1237,,,Inabaknon
Indonesian,Indonesian,,-7.33458,109.716,indo1316,,,Standard Indonesian
Inibaloi,Inibaloi,,16.4263,120.695,ibal1244,,,Ibaloi
Iraralay,Iraralay,,20.77,121.85,ivat1242,,,Itbayat
Isamorong,Isamorong,,20.77,121.85,ivat1242,,,Itbayat
IsnegDibagatKabugaoIsneg,IsnegDibagatKabugaoIsneg,,18.2139,121.16,isna1241,,,Isnag
Itbayat,Itbayat,,20.77,121.85,ivat1242,,,Itbayat
Itbayaten,Itbayaten,,20.77,121.85,ivat1242,,,Itbayat
ItnegBinongan,ItnegBinongan,,17.5972,120.876,bino1237,,,Binongan Itneg
Ivasay,Ivasay,,20.77,121.85,ivat1242,,,Itbayat
Javanese,Javanese,,-7.001,109.287,java1254,,xd751,Javanese
Jawe,Jawe,,-20.6648,164.676,jawe1237,,,Jawe
Kaidipang,Kaidipang,,0.85641,123.217,kaid1239,,,Kaidipang
Kairiru,Kairiru,,-3.34608,143.558,kair1263,,,Kairiru
KakidugenIlongot,KakidugenIlongot,,16.3785,121.547,ilon1239,,,Ilongot
Kalagan,Kalagan,,6.8126,125.328,kala1388,,,Kalagan
KalingaGuinaangLubuagan_D,KalingaGuinaangLubuagan_D,,17.3879,121.0365,lubu1243,,xd739,Lubuagan Kalinga
KallahanKayapaProper,KallahanKayapaProper,,16.321,120.9,kaya1320,,,Kayapa Kallahan
KallahanKeleyqiq,KallahanKeleyqiq,,16.7099,121.035,kele1259,,,Keley-i Kallahan
Kambera,Kambera,,-9.88447,120.235,kamb1299,,,Kambera
Kanakanabu,Kanakanabu,,23.3235,120.887,kana1286,,,Kanakanavu
KankanayNorthern,KankanayNorthern,,17.1057,120.786,nort2877,,xd742,Northern Kankanay
Kapampangan,Kapampangan,,14.9603,120.502,pamp1243,,,Pampanga
Kapingamarangi,Kapingamarangi,,1.039166,154.797223,kapi1249,,xd886,Kapingamarangi
KaraWest,KaraWest,,-2.81957,151.111,kara1486,,,Kara (Papua New Guinea)
KasiraIrahutu,KasiraIrahutu,,-2.94438,133.586,irar1238,,,Irarutu
Katingan,Katingan,,-1.58463,112.794,ngaj1237,,,Ngaju
Kavalan,Kavalan,,24.6947,121.645,kava1241,,,Kavalan
KayanUmaJuman,KayanUmaJuman,,2.71903,114.169,reja1241,,,Rejang Kayan
Kedang,Kedang,,-8.23039,123.77,keda1252,,,Kedang
KeiTanimbarKei,KeiTanimbarKei,,-5.63948,133.02,keii1239,,,Kei
KelabitBario,KelabitBario,,3.31783,115.428,kela1258,,,Kelabit
Kemak,Kemak,,-9.00299,125.159,kema1243,,,Kemak
KenyahLongAnap,KenyahLongAnap,,3.42975,116.47431,main1275,,,Usun Apau Kenyah
Kerinci,Kerinci,,-1.93668,101.403,keri1250,,,Kerinci
KiaZabana,KiaZabana,,-7.74311,158.753,zaba1237,,,Zabana
Kilivila,Kilivila,,-8.72574,151.072,kili1267,,xd852,Kilivila
KilokakaYsabel,KilokakaYsabel,,-8.18719,159.255,zaza1245,,,Zazao
Kiribati,Kiribati,,0.179,173.64,gilb1244,,xd829 xd838,Gilbertese
Kisar,Kisar,,-8.05122,127.18,kisa1266,,,Kisar
Kodi,Kodi,,-9.6373,119.114,kodi1247,,xd763,Kodi
KoiwaiIrianJaya,KoiwaiIrianJaya,,-4.21954,133.468,kowi1239,,,Kowiai
Kokota,Kokota,,-8.16481,159.191,koko1269,,,Kokota
Komering,Komering,,-3.79215,105.107,kome1238,,,Komering
KoronadalBlaan,KoronadalBlaan,,6.20529,125.007,koro1310,,xd740,Koronadal Blaan
Kove,Kove,,-5.58623,149.63,kove1237,,,Kove
Kuanua,Kuanua,,-4.30986,152.114,kuan1248,,,Kuanua
Kusaie,Kusaie,,5.31,162.98,kosr1238,,xd826,Kosraean
Kwaio,Kwaio,,-8.93744,160.965,kwai1243,,xd850,Kwaio
Kwamera,Kwamera,,-19.5954,169.442,kwam1252,,,Kwamera
KwaraaeSolomonIslands,KwaraaeSolomonIslands,,-8.75779,160.804,kwar1239,,,Kwara'ae
Lahanan,Lahanan,,2.72734,113.947,laha1253,,,Lahanan
Lakalai,Lakalai,,-5.59931,150.888,naka1262,,xd859,Nakanai
Lamaholot,Lamaholot,,-8.36439,122.803,lama1277,,xd769,Lamaholot
LamboyaLaboya,LamboyaLaboya,,-9.70434,119.344,lamb1273,,,Lamboya
Lampung,Lampung,,-5.73463,105.037,lamp1243,,,Lampung Api
Lau,Lau,,-8.51018,160.872,lauu1247,,,Lau
Leipon,Leipon,,-1.9665,147.226,leip1237,,,Leipon
Lenakel,Lenakel,,-19.4763,169.261,lena1238,,,Lenakel
Letinese,Letinese,,-8.19808,127.674,leti1246,,,Leti (Indonesia)
Levei,Levei,,-2.06626,146.746,kheh1237,,,Khehek
Likum,Likum,,-2.16157,146.695,liku1243,,,Likum
LioFloresTongah,LioFloresTongah,,-8.68615,121.832,lioo1240,,,Li'o
Loniu,Loniu,,-2.06124,147.35,loni1238,,,Loniu
Lou,Lou,,-2.38659,147.346,louu1245,,,Lou
Luang,Luang,,-8.18378,127.944,luan1263,,,Luang
Luangiua,Luangiua,,-5.49029,159.701,onto1237,,xd884,Luangiua
LungaLungaMinigir,LungaLungaMinigir,,-4.31803,152.005,mini1251,,,Minigir
LwepeSantaCruz,LwepeSantaCruz,,-10.6771,165.835,natu1246,,,Natügu
Maanyan,Maanyan,,-2.1239,115.092,maan1238,,,Ma'anyan
Madara,Madara,,-2.7828,151.956,mand1440,,,Mandara
Madurese,Madurese,,-7.0,113.0,nucl1460,,,Madurese
MagoriSouthEastPapua,MagoriSouthEastPapua,,-10.2321,149.26,mago1248,,,Magori
Makassar,Makassar,,-5.65551,119.838,maka1311,,xd759,Makasar
MalayBahasaIndonesia,MalayBahasaIndonesia,,-7.33458,109.716,indo1316,,,Standard Indonesian
Maleu,Maleu,,-5.61613,148.445,male1289,,,Maleu-Kilenge
MaloSantaCruz,MaloSantaCruz,,,,malo1246,,,Malo
Maloh,Maloh,,1.3156,112.63,emba1238,,,Embaloh
Mamanwa,Mamanwa,,9.44744,125.548,mama1275,,,Minamanwa
Mambai,Mambai,,-9.19552,125.475,mamb1306,,,Mambae
Mamboru,Mamboru,,-9.42302,119.55,mamb1305,,,Mamboru
Manam,Manam,,-4.07921,145.033,mana1295,,xd806,Manam
Mangareva,Mangareva,,-23.1095,-134.97,mang1401,,xd896,Mangareva
Manggarai,Manggarai,,-8.55748,120.329,mang1405,,,Manggarai
ManoboAtadownriver,ManoboAtadownriver,,7.7789,125.499,atam1240,,,Ata Manobo
ManoboAtaupriver,ManoboAtaupriver,,7.7789,125.499,atam1240,,,Ata Manobo
ManoboDibabawon,ManoboDibabawon,,7.85664,126.018,diba1242,,,Dibabawon Manobo
ManoboIlianenKibudtungan_D,ManoboIlianenKibudtungan_D,,7.34448,124.766,ilia1236,,,Ilianen Manobo
ManoboKalamansigCotabatoParil_D,ManoboKalamansigCotabatoParil_D,,6.39417,124.234,cota1241,,,Cotabato Manobo
ManoboSaranganiKayaponga_D,ManoboSaranganiKayaponga_D,,5.84903,125.499,sara1327,,,Sarangani Manobo
ManoboTigwaIglogsad_D,ManoboTigwaIglogsad_D,,7.72124,125.16,mati1250,,,Matigsalug Manobo
Mansaka,Mansaka,,6.79221,126.181,mans1262,,,Mansaka
Maori,Maori,,-38.2881,176.541,maor1246,,xd891,Maori
Mapun,Mapun,,6.09061,118.75,mapu1244,,,Mapun
Maranao,Maranao,,7.79414,124.175,mara1404,,,Maranao
MarovoNewGeorgia,MarovoNewGeorgia,,-8.37943,157.747,maro1244,,,Marovo
Marquesan,Marquesan,,-8.89412,-140.108,nort2845,,xd892,North Marquesan
Marshallese,Marshallese,,8.72,167.73,mars1254,,xd827,Marshallese
MarshalleseE_D,MarshalleseE_D,,,,rata1243,,xd832 xd834,Ratak
Masiwang,Masiwang,,-3.29547,130.601,masi1266,,,Masiwang
Matukar,Matukar,,-4.9078,145.779,matu1261,,,Matukar
Maututu,Maututu,,-5.59931,150.888,naka1262,,,Nakanai
Megiar,Megiar,,-4.69057,145.975,taki1248,,,Takia
Mekeo,Mekeo,,-8.23853,146.586,meke1243,,xd799,Mekeo
MelanauMukah,MelanauMukah,,2.524086,111.346451,cent2101,,,Central Melanau
Melayu,Melayu,,3.08896,101.699,stan1306,,xd730,Standard Malay
MelayuAmbon,MelayuAmbon,,-3.71342,128.184,ambo1250,,,Ambonese Malay
MelayuBrunei_D,MelayuBrunei_D,,4.456045,114.429505,brun1242,,,Brunei
Merei,Merei,,-15.2839,166.905,mere1242,,,Merei
MerinaMalagasy,MerinaMalagasy,,,,meri1243,,xd688 xd687 xd689,Merina
Minangkabau,Minangkabau,,-0.896,100.44,mina1268,,xd755,Minangkabau
MinyaifuinGebe,MinyaifuinGebe,,-0.07877,129.424,gebe1237,,,Gebe
Modang,Modang,,0.80793,116.573,moda1244,,,Modang
Moken,Moken,,10.1474,98.6765,moke1242,,xd728,Moken
Mokilese,Mokilese,,6.65651,159.776,moki1238,,,Mokilese
Molima,Molima,,-9.57457,150.614,moli1248,,xd851,Molima
Mor,Mor,,-2.87055,135.95,morm1235,,,Mor (Mor Islands)
